Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Afghanistan,33.93911,67.709953,1/22/2020,0,0,0,0,Eastern Mediterranean
South Korea,35.907757,127.766922,4/14/2020,10564,222,7534,2808,Western Pacific
Kuwait,29.31166,47.481766,4/14/2020,1355,3,176,1176,Eastern Mediterranean
Kyrgyzstan,41.20438,74.766098,4/14/2020,430,5,71,354,Europe
Latvia,56.8796,24.6032,4/14/2020,657,5,16,636,Europe
Lebanon,33.8547,35.8623,4/14/2020,641,21,80,540,Eastern Mediterranean
Liechtenstein,47.14,9.55,4/14/2020,79,1,77,1,Europe
Lithuania,55.1694,23.8813,4/14/2020,1070,29,101,940,Europe
Luxembourg,49.8153,6.1296,4/14/2020,3307,67,500,2740,Europe
Malaysia,4.210484,101.975766,4/14/2020,4987,82,2478,2427,Western Pacific
Maldives,3.2028,73.2207,4/14/2020,20,0,16,4,South-East Asia
Malta,35.9375,14.3754,4/14/2020,393,3,44,346,Europe
Moldova,47.4116,28.3699,4/14/2020,1934,40,134,1760,Europe
Monaco,43.7333,7.4167,4/14/2020,93,1,6,86,Europe
Mongolia,46.8625,103.8467,4/14/2020,30,0,5,25,Western Pacific
Montenegro,42.708678,19.37439,4/14/2020,283,4,46,233,Europe
Morocco,31.7917,-7.0926,4/14/2020,1888,126,217,1545,Eastern Mediterranean
Nepal,28.1667,84.25,4/14/2020,16,0,1,15,South-East Asia
Netherlands,12.5211,-69.9683,4/14/2020,92,0,32,60,Europe
Netherlands,12.1696,-68.99,4/14/2020,14,1,10,3,Europe
Netherlands,18.0425,-63.0548,4/14/2020,52,9,5,38,Europe
Netherlands,52.1326,5.2913,4/14/2020,27419,2945,0,24474,Europe
New Zealand,-40.9006,174.886,4/14/2020,1366,9,628,729,Western Pacific
North Macedonia,41.6086,21.7453,4/14/2020,908,44,86,778,Europe
Norway,60.472,8.4689,4/14/2020,6623,139,32,6452,Europe
Oman,21.512583,55.923255,4/14/2020,813,4,130,679,Eastern Mediterranean
Pakistan,30.3753,69.3451,4/14/2020,6383,111,1446,4826,Eastern Mediterranean
Papua New Guinea,-6.314993,143.95555,4/14/2020,2,0,0,2,Western Pacific
Philippines,12.879721,121.774017,4/14/2020,5223,335,295,4593,Western Pacific
Poland,51.9194,19.1451,4/14/2020,7202,263,618,6321,Europe
Portugal,39.3999,-8.2245,4/14/2020,17448,567,347,16534,Europe
Qatar,25.3548,51.1839,4/14/2020,3428,7,373,3048,Eastern Mediterranean
Romania,45.9432,24.9668,4/14/2020,6879,351,1051,5477,Europe
Russia,61.52401,105.318756,4/14/2020,21102,170,1694,19238,Europe
San Marino,43.9424,12.4578,4/14/2020,371,36,53,282,Europe
Saudi Arabia,23.885942,45.079162,4/14/2020,5369,73,889,4407,Eastern Mediterranean
Serbia,44.0165,21.0059,4/14/2020,4465,94,0,4371,Europe
Singapore,1.2833,103.8333,4/14/2020,3252,10,611,2631,Western Pacific
Slovakia,48.669,19.699,4/14/2020,835,2,113,720,Europe
Slovenia,46.1512,14.9955,4/14/2020,1220,56,152,1012,Europe
Somalia,5.152149,46.199616,4/14/2020,60,2,2,56,Eastern Mediterranean
Spain,40.463667,-3.74922,4/14/2020,172541,18056,67504,86981,Europe
Sri Lanka,7.873054,80.771797,4/14/2020,233,7,61,165,South-East Asia
Sudan,12.8628,30.2176,4/14/2020,32,5,4,23,Eastern Mediterranean
Sweden,60.128161,18.643501,4/14/2020,11445,1033,0,10412,Europe
Switzerland,46.8182,8.2275,4/14/2020,25936,1174,13700,11062,Europe
Taiwan*,23.7,121,4/14/2020,393,6,124,263,Western Pacific
Thailand,15.870032,100.992541,4/14/2020,2613,41,1405,1167,South-East Asia
Tunisia,33.886917,9.537499,4/14/2020,747,34,43,670,Eastern Mediterranean
Turkey,38.9637,35.2433,4/14/2020,65111,1403,4799,58909,Europe
Ukraine,48.3794,31.1656,4/14/2020,3372,98,119,3155,Europe
United Arab Emirates,23.424076,53.847818,4/14/2020,4933,28,933,3972,Eastern Mediterranean
United Kingdom,32.3078,-64.7505,4/14/2020,57,5,30,22,Europe
United Kingdom,19.3133,-81.2546,4/14/2020,54,1,6,47,Europe
United Kingdom,49.3723,-2.3644,4/14/2020,440,13,48,379,Europe
United Kingdom,36.1408,-5.3536,4/14/2020,129,0,93,36,Europe
United Kingdom,54.2361,-4.5481,4/14/2020,254,2,141,111,Europe
United Kingdom,16.742498,-62.187366,4/14/2020,11,0,1,10,Europe
United Kingdom,55.3781,-3.436,4/14/2020,101393,14085,0,87308,Europe
Uzbekistan,41.377491,64.585262,4/14/2020,1165,4,99,1062,Europe
Vietnam,14.058324,108.277199,4/14/2020,266,0,169,97,Western Pacific
Syria,34.802075,38.996815,4/14/2020,29,2,0,27,Eastern Mediterranean
Timor-Leste,-8.874217,125.727539,4/14/2020,6,0,0,6,South-East Asia
Laos,19.85627,102.495496,4/14/2020,19,0,1,18,Western Pacific
Libya,26.3351,17.228331,4/14/2020,35,1,9,25,Eastern Mediterranean
West Bank and Gaza,31.9522,35.2332,4/14/2020,284,2,62,220,Eastern Mediterranean
Kosovo,42.602636,20.902977,4/14/2020,387,8,66,313,Europe
Burma,21.9162,95.956,4/14/2020,63,4,2,57,South-East Asia
United Kingdom,18.2206,-63.0686,4/14/2020,3,0,1,2,Europe
United Kingdom,18.4207,-64.64,4/14/2020,3,0,2,1,Europe
United Kingdom,21.694,-71.7979,4/14/2020,10,1,0,9,Europe
United Kingdom,-51.7963,-59.5236,4/14/2020,11,0,1,10,Europe
France,46.8852,-56.3159,4/14/2020,1,0,0,1,Europe
Yemen,15.552727,48.516388,4/14/2020,1,0,0,1,Eastern Mediterranean
Tajikistan,38.861,71.2761,4/14/2020,0,0,0,0,Europe
Afghanistan,33.93911,67.709953,4/15/2020,784,25,43,716,Eastern Mediterranean
Albania,41.1533,20.1683,4/15/2020,494,25,251,218,Europe
Andorra,42.5063,1.5218,4/15/2020,673,33,169,471,Europe
Armenia,40.0691,45.0382,4/15/2020,1111,17,297,797,Europe
Australia,-35.4735,149.0124,4/15/2020,103,3,72,28,Western Pacific
Australia,-33.8688,151.2093,4/15/2020,2886,25,4,2857,Western Pacific
Australia,-12.4634,130.8456,4/15/2020,28,0,6,22,Western Pacific
Australia,-27.4698,153.0251,4/15/2020,999,5,442,552,Western Pacific
Australia,-34.9285,138.6007,4/15/2020,433,4,240,189,Western Pacific
Australia,-42.8821,147.3272,4/15/2020,165,6,53,106,Western Pacific
Australia,-37.8136,144.9631,4/15/2020,1299,14,1118,167,Western Pacific
Australia,-31.9505,115.8605,4/15/2020,527,6,251,270,Western Pacific
Austria,47.5162,14.5501,4/15/2020,14336,393,8098,5845,Europe
Azerbaijan,40.1431,47.5769,4/15/2020,1253,13,404,836,Europe
Bahrain,26.0275,50.55,4/15/2020,1671,7,663,1001,Eastern Mediterranean
Bangladesh,23.685,90.3563,4/15/2020,1231,50,49,1132,South-East Asia
Belarus,53.7098,27.9534,4/15/2020,3728,36,203,3489,Europe
Belgium,50.8333,4.469936,4/15/2020,33573,4440,7107,22026,Europe
Bhutan,27.5142,90.4336,4/15/2020,5,0,2,3,South-East Asia
Bosnia and Herzegovina,43.9159,17.6791,4/15/2020,1110,41,253,816,Europe
Brunei,4.5353,114.7277,4/15/2020,136,1,108,27,Western Pacific
Bulgaria,42.7339,25.4858,4/15/2020,747,36,105,606,Europe
Cambodia,11.55,104.9167,4/15/2020,122,0,96,26,Western Pacific
China,31.8257,117.2264,4/15/2020,991,6,984,1,Western Pacific
China,40.1824,116.4142,4/15/2020,590,8,495,87,Western Pacific
China,30.0572,107.874,4/15/2020,579,6,570,3,Western Pacific
China,26.0789,117.9874,4/15/2020,353,1,331,21,Western Pacific
China,35.7518,104.2861,4/15/2020,139,2,136,1,Western Pacific
China,23.3417,113.4244,4/15/2020,1566,8,1462,96,Western Pacific
China,23.8298,108.7881,4/15/2020,254,2,252,0,Western Pacific
China,26.8154,106.8748,4/15/2020,146,2,144,0,Western Pacific
China,19.1959,109.7453,4/15/2020,168,6,162,0,Western Pacific
China,39.549,116.1306,4/15/2020,327,6,0,321,Western Pacific
China,47.862,127.7615,4/15/2020,841,13,470,358,Western Pacific
China,37.8957,114.9042,4/15/2020,1276,22,0,1254,Western Pacific
China,22.3,114.2,4/15/2020,1017,4,459,554,Western Pacific
China,30.9756,112.2707,4/15/2020,67803,3222,64402,179,Western Pacific
China,27.6104,111.7088,4/15/2020,1019,4,1014,1,Western Pacific
China,44.0935,113.9448,4/15/2020,190,1,94,95,Western Pacific
China,32.9711,119.455,4/15/2020,653,0,642,11,Western Pacific
China,27.614,115.7221,4/15/2020,937,1,936,0,Western Pacific
China,43.6661,126.1923,4/15/2020,102,1,96,5,Western Pacific
China,41.2956,122.6085,4/15/2020,145,2,138,5,Western Pacific
China,22.1667,113.55,4/15/2020,45,0,16,29,Western Pacific
China,37.2692,106.1655,4/15/2020,75,0,75,0,Western Pacific
China,35.7452,95.9956,4/15/2020,18,0,18,0,Western Pacific
China,35.1917,108.8701,4/15/2020,256,3,251,2,Western Pacific
China,36.3427,118.1498,4/15/2020,784,7,761,16,Western Pacific
China,31.202,121.4491,4/15/2020,622,7,485,130,Western Pacific
China,37.5777,112.2922,4/15/2020,186,0,135,51,Western Pacific
China,30.6171,102.7103,4/15/2020,560,3,550,7,Western Pacific
China,39.3054,117.323,4/15/2020,185,3,171,11,Western Pacific
China,31.6927,88.0924,4/15/2020,1,0,1,0,Western Pacific
China,41.1129,85.2401,4/15/2020,76,3,73,0,Western Pacific
China,24.974,101.487,4/15/2020,184,2,176,6,Western Pacific
China,29.1832,120.0934,4/15/2020,1268,1,1244,23,Western Pacific
Croatia,45.1,15.2,4/15/2020,1741,33,473,1235,Europe
Cyprus,35.1264,33.4299,4/15/2020,715,12,65,638,Europe
Czechia,49.8175,15.473,4/15/2020,6216,166,819,5231,Europe
Denmark,61.8926,-6.9118,4/15/2020,184,0,166,18,Europe
Greenland,71.7069,-42.6043,4/15/2020,11,0,11,0,Europe
Denmark,56.2639,9.5018,4/15/2020,6681,309,2748,3624,Europe
Djibouti,11.8251,42.5903,4/15/2020,435,2,71,362,Eastern Mediterranean
Egypt,26.820553,30.802498,4/15/2020,2505,183,589,1733,Eastern Mediterranean
Estonia,58.5953,25.0136,4/15/2020,1400,35,117,1248,Europe
Fiji,-17.7134,178.065,4/15/2020,16,0,0,16,Western Pacific
Finland,61.92411,25.748151,4/15/2020,3237,72,300,2865,Europe
France,3.9339,-53.1258,4/15/2020,86,0,51,35,Europe
France,-17.6797,149.4068,4/15/2020,55,0,0,55,Europe
France,16.265,-61.551,4/15/2020,145,8,67,70,Europe
France,-12.8275,45.166244,4/15/2020,217,3,69,145,Europe
France,-20.904305,165.618042,4/15/2020,18,0,1,17,Europe
France,-21.1151,55.5364,4/15/2020,391,0,237,154,Europe
France,17.9,-62.8333,4/15/2020,6,0,4,2,Europe
France,18.0708,-63.0501,4/15/2020,35,2,13,20,Europe
France,14.6415,-61.0242,4/15/2020,158,8,73,77,Europe
France,46.2276,2.2137,4/15/2020,132473,17148,30440,84885,Europe
Georgia,42.3154,43.3569,4/15/2020,306,3,71,232,Europe
Germany,51.165691,10.451526,4/15/2020,134753,3804,72600,58349,Europe
Greece,39.0742,21.8243,4/15/2020,2192,102,269,1821,Europe
Holy See,41.9029,12.4534,4/15/2020,8,0,2,6,Europe
Hungary,47.1625,19.5033,4/15/2020,1579,134,192,1253,Europe
Iceland,64.9631,-19.0208,4/15/2020,1727,8,1077,642,Europe
India,20.593684,78.96288,4/15/2020,12322,405,1432,10485,South-East Asia
Indonesia,-0.7893,113.9213,4/15/2020,5136,469,446,4221,South-East Asia
Iran,32.427908,53.688046,4/15/2020,76389,4777,49933,21679,Eastern Mediterranean
Iraq,33.223191,43.679291,4/15/2020,1415,79,812,524,Eastern Mediterranean
Ireland,53.1424,-7.6921,4/15/2020,12547,444,77,12026,Europe
Israel,31.046051,34.851612,4/15/2020,12501,130,2563,9808,Europe
Italy,41.87194,12.56738,4/15/2020,165155,21645,38092,105418,Europe
Japan,36.204824,138.252924,4/15/2020,8835,186,853,7796,Western Pacific
Jordan,31.24,36.51,4/15/2020,401,7,250,144,Eastern Mediterranean
Kazakhstan,48.0196,66.9237,4/15/2020,1295,16,240,1039,Europe
South Korea,35.907757,127.766922,4/15/2020,10591,225,7616,2750,Western Pacific
Kuwait,29.31166,47.481766,4/15/2020,1405,3,206,1196,Eastern Mediterranean
Kyrgyzstan,41.20438,74.766098,4/15/2020,449,5,78,366,Europe
Latvia,56.8796,24.6032,4/15/2020,666,5,44,617,Europe
Lebanon,33.8547,35.8623,4/15/2020,658,21,85,552,Eastern Mediterranean
Liechtenstein,47.14,9.55,4/15/2020,79,1,77,1,Europe
Lithuania,55.1694,23.8813,4/15/2020,1091,30,138,923,Europe
Luxembourg,49.8153,6.1296,4/15/2020,3373,69,526,2778,Europe
Malaysia,4.210484,101.975766,4/15/2020,5072,83,2647,2342,Western Pacific
Maldives,3.2028,73.2207,4/15/2020,22,0,16,6,South-East Asia
Malta,35.9375,14.3754,4/15/2020,399,3,44,352,Europe
Moldova,47.4116,28.3699,4/15/2020,2049,46,171,1832,Europe
Monaco,43.7333,7.4167,4/15/2020,93,3,12,78,Europe
Mongolia,46.8625,103.8467,4/15/2020,30,0,5,25,Western Pacific
Montenegro,42.708678,19.37439,4/15/2020,288,4,55,229,Europe
Morocco,31.7917,-7.0926,4/15/2020,2024,127,229,1668,Eastern Mediterranean
Nepal,28.1667,84.25,4/15/2020,16,0,1,15,South-East Asia
Netherlands,12.5211,-69.9683,4/15/2020,93,1,39,53,Europe
Netherlands,12.1696,-68.99,4/15/2020,14,1,10,3,Europe
Netherlands,18.0425,-63.0548,4/15/2020,53,9,5,39,Europe
Netherlands,52.1326,5.2913,4/15/2020,28153,3134,0,25019,Europe
New Zealand,-40.9006,174.886,4/15/2020,1386,9,728,649,Western Pacific
North Macedonia,41.6086,21.7453,4/15/2020,974,45,98,831,Europe
Norway,60.472,8.4689,4/15/2020,6740,150,32,6558,Europe
Oman,21.512583,55.923255,4/15/2020,910,4,131,775,Eastern Mediterranean
Pakistan,30.3753,69.3451,4/15/2020,6919,128,1645,5146,Eastern Mediterranean
Papua New Guinea,-6.314993,143.95555,4/15/2020,2,0,0,2,Western Pacific
Philippines,12.879721,121.774017,4/15/2020,5453,349,353,4751,Western Pacific
Poland,51.9194,19.1451,4/15/2020,7582,286,668,6628,Europe
Portugal,39.3999,-8.2245,4/15/2020,18091,599,383,17109,Europe
Qatar,25.3548,51.1839,4/15/2020,3711,7,406,3298,Eastern Mediterranean
Romania,45.9432,24.9668,4/15/2020,7216,372,1217,5627,Europe
Russia,61.52401,105.318756,4/15/2020,24490,198,1986,22306,Europe
San Marino,43.9424,12.4578,4/15/2020,372,36,53,283,Europe
Saudi Arabia,23.885942,45.079162,4/15/2020,5862,79,931,4852,Eastern Mediterranean
Serbia,44.0165,21.0059,4/15/2020,4873,99,0,4774,Europe
Singapore,1.2833,103.8333,4/15/2020,3699,10,652,3037,Western Pacific
Slovakia,48.669,19.699,4/15/2020,863,6,151,706,Europe
Slovenia,46.1512,14.9955,4/15/2020,1248,61,165,1022,Europe
Somalia,5.152149,46.199616,4/15/2020,80,5,2,73,Eastern Mediterranean
Spain,40.463667,-3.74922,4/15/2020,177644,18708,70853,88083,Europe
Sri Lanka,7.873054,80.771797,4/15/2020,238,7,63,168,South-East Asia
Sudan,12.8628,30.2176,4/15/2020,32,5,4,23,Eastern Mediterranean
Sweden,60.128161,18.643501,4/15/2020,11927,1203,0,10724,Europe
Switzerland,46.8182,8.2275,4/15/2020,26336,1239,15400,9697,Europe
Taiwan*,23.7,121,4/15/2020,395,6,124,265,Western Pacific
Thailand,15.870032,100.992541,4/15/2020,2643,43,1497,1103,South-East Asia
Tunisia,33.886917,9.537499,4/15/2020,780,35,43,702,Eastern Mediterranean
Turkey,38.9637,35.2433,4/15/2020,69392,1518,5674,62200,Europe
Ukraine,48.3794,31.1656,4/15/2020,3764,108,143,3513,Europe
United Arab Emirates,23.424076,53.847818,4/15/2020,5365,33,1034,4298,Eastern Mediterranean
United Kingdom,32.3078,-64.7505,4/15/2020,81,5,33,43,Europe
United Kingdom,19.3133,-81.2546,4/15/2020,54,1,6,47,Europe
United Kingdom,49.3723,-2.3644,4/15/2020,447,15,69,363,Europe
United Kingdom,36.1408,-5.3536,4/15/2020,131,0,104,27,Europe
United Kingdom,54.2361,-4.5481,4/15/2020,256,4,151,101,Europe
United Kingdom,16.742498,-62.187366,4/15/2020,11,0,1,10,Europe
United Kingdom,55.3781,-3.436,4/15/2020,106458,14927,0,91531,Europe
Uzbekistan,41.377491,64.585262,4/15/2020,1302,4,107,1191,Europe
Vietnam,14.058324,108.277199,4/15/2020,267,0,171,96,Western Pacific
Syria,34.802075,38.996815,4/15/2020,33,2,0,31,Eastern Mediterranean
Timor-Leste,-8.874217,125.727539,4/15/2020,8,0,0,8,South-East Asia
Laos,19.85627,102.495496,4/15/2020,19,0,1,18,Western Pacific
Libya,26.3351,17.228331,4/15/2020,48,1,9,38,Eastern Mediterranean
West Bank and Gaza,31.9522,35.2332,4/15/2020,291,2,63,226,Eastern Mediterranean
Kosovo,42.602636,20.902977,4/15/2020,387,8,66,313,Europe
Burma,21.9162,95.956,4/15/2020,74,4,2,68,South-East Asia
United Kingdom,18.2206,-63.0686,4/15/2020,3,0,1,2,Europe
United Kingdom,18.4207,-64.64,4/15/2020,3,0,2,1,Europe
United Kingdom,21.694,-71.7979,4/15/2020,10,1,0,9,Europe
United Kingdom,-51.7963,-59.5236,4/15/2020,11,0,1,10,Europe
France,46.8852,-56.3159,4/15/2020,1,0,0,1,Europe
Yemen,15.552727,48.516388,4/15/2020,1,0,0,1,Eastern Mediterranean
Tajikistan,38.861,71.2761,4/15/2020,0,0,0,0,Europe
Afghanistan,33.93911,67.709953,4/16/2020,840,30,54,756,Eastern Mediterranean
Albania,41.1533,20.1683,4/16/2020,518,26,277,215,Europe
Andorra,42.5063,1.5218,4/16/2020,673,33,169,471,Europe
Armenia,40.0691,45.0382,4/16/2020,1159,18,358,783,Europe
Australia,-35.4735,149.0124,4/16/2020,103,3,82,18,Western Pacific
Australia,-33.8688,151.2093,4/16/2020,2897,25,4,2868,Western Pacific
Australia,-12.4634,130.8456,4/16/2020,28,0,6,22,Western Pacific
Australia,-27.4698,153.0251,4/16/2020,1001,5,442,554,Western Pacific
Australia,-34.9285,138.6007,4/16/2020,433,4,279,150,Western Pacific
Australia,-42.8821,147.3272,4/16/2020,169,6,67,96,Western Pacific
Australia,-37.8136,144.9631,4/16/2020,1299,14,1137,148,Western Pacific
Australia,-31.9505,115.8605,4/16/2020,532,6,338,188,Western Pacific
Austria,47.5162,14.5501,4/16/2020,14476,410,8986,5080,Europe
Azerbaijan,40.1431,47.5769,4/16/2020,1283,15,460,808,Europe
Bahrain,26.0275,50.55,4/16/2020,1700,7,703,990,Eastern Mediterranean
Bangladesh,23.685,90.3563,4/16/2020,1572,60,49,1463,South-East Asia
Belarus,53.7098,27.9534,4/16/2020,4204,40,203,3961,Europe
Belgium,50.8333,4.469936,4/16/2020,34809,4857,7562,22390,Europe
Bhutan,27.5142,90.4336,4/16/2020,5,0,2,3,South-East Asia
Bosnia and Herzegovina,43.9159,17.6791,4/16/2020,1167,43,277,847,Europe
Brunei,4.5353,114.7277,4/16/2020,136,1,108,27,Western Pacific
Bulgaria,42.7339,25.4858,4/16/2020,800,38,122,640,Europe
Cambodia,11.55,104.9167,4/16/2020,122,0,98,24,Western Pacific
China,31.8257,117.2264,4/16/2020,991,6,984,1,Western Pacific
China,40.1824,116.4142,4/16/2020,593,8,503,82,Western Pacific
China,30.0572,107.874,4/16/2020,579,6,570,3,Western Pacific
China,26.0789,117.9874,4/16/2020,353,1,333,19,Western Pacific
China,35.7518,104.2861,4/16/2020,139,2,137,0,Western Pacific
China,23.3417,113.4244,4/16/2020,1571,8,1471,92,Western Pacific
China,23.8298,108.7881,4/16/2020,254,2,252,0,Western Pacific
China,26.8154,106.8748,4/16/2020,146,2,144,0,Western Pacific
China,19.1959,109.7453,4/16/2020,168,6,162,0,Western Pacific
China,39.549,116.1306,4/16/2020,328,6,0,322,Western Pacific
China,47.862,127.7615,4/16/2020,861,13,471,377,Western Pacific
China,37.8957,114.9042,4/16/2020,1276,22,0,1254,Western Pacific
China,22.3,114.2,4/16/2020,1017,4,485,528,Western Pacific
China,30.9756,112.2707,4/16/2020,67803,3222,64435,146,Western Pacific
China,27.6104,111.7088,4/16/2020,1019,4,1014,1,Western Pacific
China,44.0935,113.9448,4/16/2020,193,1,94,98,Western Pacific
China,32.9711,119.455,4/16/2020,653,0,642,11,Western Pacific
China,27.614,115.7221,4/16/2020,937,1,936,0,Western Pacific
China,43.6661,126.1923,4/16/2020,102,1,96,5,Western Pacific
China,41.2956,122.6085,4/16/2020,145,2,140,3,Western Pacific
China,22.1667,113.55,4/16/2020,45,0,16,29,Western Pacific
China,37.2692,106.1655,4/16/2020,75,0,75,0,Western Pacific
China,35.7452,95.9956,4/16/2020,18,0,18,0,Western Pacific
China,35.1917,108.8701,4/16/2020,256,3,251,2,Western Pacific
China,36.3427,118.1498,4/16/2020,784,7,761,16,Western Pacific
China,31.202,121.4491,4/16/2020,628,7,489,132,Western Pacific
China,37.5777,112.2922,4/16/2020,194,0,135,59,Western Pacific
China,30.6171,102.7103,4/16/2020,560,3,552,5,Western Pacific
China,39.3054,117.323,4/16/2020,186,3,172,11,Western Pacific
China,31.6927,88.0924,4/16/2020,1,0,1,0,Western Pacific
China,41.1129,85.2401,4/16/2020,76,3,73,0,Western Pacific
China,24.974,101.487,4/16/2020,184,2,176,6,Western Pacific
China,29.1832,120.0934,4/16/2020,1268,1,1244,23,Western Pacific
Croatia,45.1,15.2,4/16/2020,1791,35,529,1227,Europe
Cyprus,35.1264,33.4299,4/16/2020,735,12,77,646,Europe
Czechia,49.8175,15.473,4/16/2020,6433,169,972,5292,Europe
Denmark,61.8926,-6.9118,4/16/2020,184,0,169,15,Europe
Greenland,71.7069,-42.6043,4/16/2020,11,0,11,0,Europe
Denmark,56.2639,9.5018,4/16/2020,6879,321,3023,3535,Europe
Djibouti,11.8251,42.5903,4/16/2020,591,2,73,516,Eastern Mediterranean
Egypt,26.820553,30.802498,4/16/2020,2673,196,596,1881,Eastern Mediterranean
Estonia,58.5953,25.0136,4/16/2020,1434,36,133,1265,Europe
Fiji,-17.7134,178.065,4/16/2020,17,0,0,17,Western Pacific
Finland,61.92411,25.748151,4/16/2020,3369,75,1700,1594,Europe
France,3.9339,-53.1258,4/16/2020,86,0,51,35,Europe
France,-17.6797,149.4068,4/16/2020,55,0,0,55,Europe
France,16.265,-61.551,4/16/2020,145,8,67,70,Europe
France,-12.8275,45.166244,4/16/2020,233,3,69,161,Europe
France,-20.904305,165.618042,4/16/2020,18,0,1,17,Europe
France,-21.1151,55.5364,4/16/2020,394,0,237,157,Europe
France,17.9,-62.8333,4/16/2020,6,0,4,2,Europe
France,18.0708,-63.0501,4/16/2020,35,2,13,20,Europe
France,14.6415,-61.0242,4/16/2020,158,8,73,77,Europe
France,46.2276,2.2137,4/16/2020,144944,17901,32297,94746,Europe
Georgia,42.3154,43.3569,4/16/2020,348,3,76,269,Europe
Germany,51.165691,10.451526,4/16/2020,137698,4052,77000,56646,Europe
Greece,39.0742,21.8243,4/16/2020,2207,105,269,1833,Europe
Holy See,41.9029,12.4534,4/16/2020,8,0,2,6,Europe
Hungary,47.1625,19.5033,4/16/2020,1652,142,199,1311,Europe
Iceland,64.9631,-19.0208,4/16/2020,1739,8,1144,587,Europe
India,20.593684,78.96288,4/16/2020,13430,448,1768,11214,South-East Asia
Indonesia,-0.7893,113.9213,4/16/2020,5516,496,548,4472,South-East Asia
Iran,32.427908,53.688046,4/16/2020,77995,4869,52229,20897,Eastern Mediterranean
Iraq,33.223191,43.679291,4/16/2020,1434,80,856,498,Eastern Mediterranean
Ireland,53.1424,-7.6921,4/16/2020,13271,486,77,12708,Europe
Israel,31.046051,34.851612,4/16/2020,12758,142,2818,9798,Europe
Italy,41.87194,12.56738,4/16/2020,168941,22170,40164,106607,Europe
Japan,36.204824,138.252924,4/16/2020,9398,204,901,8293,Western Pacific
Jordan,31.24,36.51,4/16/2020,402,7,259,136,Eastern Mediterranean
Kazakhstan,48.0196,66.9237,4/16/2020,1402,17,277,1108,Europe
South Korea,35.907757,127.766922,4/16/2020,10613,229,7757,2627,Western Pacific
Kuwait,29.31166,47.481766,4/16/2020,1524,3,225,1296,Eastern Mediterranean
Kyrgyzstan,41.20438,74.766098,4/16/2020,466,5,91,370,Europe
Latvia,56.8796,24.6032,4/16/2020,675,5,57,613,Europe
Lebanon,33.8547,35.8623,4/16/2020,663,21,86,556,Eastern Mediterranean
Liechtenstein,47.14,9.55,4/16/2020,79,1,77,1,Europe
Lithuania,55.1694,23.8813,4/16/2020,1128,32,178,918,Europe
Luxembourg,49.8153,6.1296,4/16/2020,3444,69,552,2823,Europe
Malaysia,4.210484,101.975766,4/16/2020,5182,84,2766,2332,Western Pacific
Maldives,3.2028,73.2207,4/16/2020,25,0,16,9,South-East Asia
Malta,35.9375,14.3754,4/16/2020,412,3,82,327,Europe
Moldova,47.4116,28.3699,4/16/2020,2154,54,235,1865,Europe
Monaco,43.7333,7.4167,4/16/2020,93,3,12,78,Europe
Mongolia,46.8625,103.8467,4/16/2020,31,0,5,26,Western Pacific
Montenegro,42.708678,19.37439,4/16/2020,303,4,55,244,Europe
Morocco,31.7917,-7.0926,4/16/2020,2283,130,249,1904,Eastern Mediterranean
Nepal,28.1667,84.25,4/16/2020,16,0,2,14,South-East Asia
Netherlands,12.5211,-69.9683,4/16/2020,95,2,39,54,Europe
Netherlands,12.1696,-68.99,4/16/2020,14,1,10,3,Europe
Netherlands,18.0425,-63.0548,4/16/2020,57,9,12,36,Europe
Netherlands,52.1326,5.2913,4/16/2020,29214,3315,0,25899,Europe
New Zealand,-40.9006,174.886,4/16/2020,1401,9,770,622,Western Pacific
North Macedonia,41.6086,21.7453,4/16/2020,1081,46,121,914,Europe
Norway,60.472,8.4689,4/16/2020,6896,152,32,6712,Europe
Oman,21.512583,55.923255,4/16/2020,1019,4,176,839,Eastern Mediterranean
Pakistan,30.3753,69.3451,4/16/2020,7025,135,1765,5125,Eastern Mediterranean
Papua New Guinea,-6.314993,143.95555,4/16/2020,7,0,0,7,Western Pacific
Philippines,12.879721,121.774017,4/16/2020,5660,362,435,4863,Western Pacific
Poland,51.9194,19.1451,4/16/2020,7918,314,774,6830,Europe
Portugal,39.3999,-8.2245,4/16/2020,18841,629,493,17719,Europe
Qatar,25.3548,51.1839,4/16/2020,4103,7,415,3681,Eastern Mediterranean
Romania,45.9432,24.9668,4/16/2020,7707,392,1357,5958,Europe
Russia,61.52401,105.318756,4/16/2020,27938,232,2304,25402,Europe
San Marino,43.9424,12.4578,4/16/2020,426,38,55,333,Europe
Saudi Arabia,23.885942,45.079162,4/16/2020,6380,83,990,5307,Eastern Mediterranean
Serbia,44.0165,21.0059,4/16/2020,5318,103,0,5215,Europe
Singapore,1.2833,103.8333,4/16/2020,4427,10,683,3734,Western Pacific
Slovakia,48.669,19.699,4/16/2020,977,8,167,802,Europe
Slovenia,46.1512,14.9955,4/16/2020,1268,61,174,1033,Europe
Somalia,5.152149,46.199616,4/16/2020,80,5,2,73,Eastern Mediterranean
Spain,40.463667,-3.74922,4/16/2020,184948,19315,74797,90836,Europe
Sri Lanka,7.873054,80.771797,4/16/2020,238,7,68,163,South-East Asia
Sudan,12.8628,30.2176,4/16/2020,32,5,4,23,Eastern Mediterranean
